url,name,address,phone,web,products,keyword
https://www.infobel.com/fr/france/ardoises_et_derives/saumur/FR101816949-0241384507/businessdetails.aspx,Ardoises et Dérivés," Saint-Lambert-des-Levées, 49400 Saumur , Maine-et-Loire -  Pays de la Loire -  France",02 41 38 45 07,http://www.ardoises-et-derives.fr,,Matériaux de couverture
https://www.infobel.com/fr/france/protec_bat/brette_les_pins/FR106497325-0252849992/businessdetails.aspx,Protec-Bat,"10 Le Clos des Genêts, 72250 Brette-les-Pins , Sarthe -  Pays de la Loire -  France",02 52 84 99 92,http://www.protec-bat.fr,,Matériaux de couverture
https://www.infobel.com/fr/france/bisiaux_geoffray/auterive/FR105350063/businessdetails.aspx,Bisiaux Geoffray,"10 Les Pachères, 32550 Auterive , Gers -  Midi-Pyrénées -  France",06 82 27 45 43,http://www.ecabisiaux.fr,,Matériaux de couverture
https://www.infobel.com/fr/france/weldom_lezignan_corbieres/lezignan_corbieres/FR103215060-0468406668/businessdetails.aspx,Weldom Lezignan Corbieres,"14 Avenue Frédéric Mistral, 11200 Lézignan-Corbières ,   France",0468406668,https://www.weldom.fr/Lezignan-Corbieres,bricolage; entretien; jardin; plomberie; quincallerie; rénovation,Matériaux de construction
https://www.infobel.com/fr/france/bret_florent/corignac/FR106758306-0546492957/businessdetails.aspx,Bret Florent,"5 Route de Donnezac, 17130 Corignac , Charente-Maritime -  Poitou-Charentes -  France",05 46 49 29 57,http://bret-florent.fr,,Matériaux de couverture
https://www.infobel.com/fr/france/brusini_christian_michel_raymond/brest/FR106039704-0298470002/businessdetails.aspx,Brusini Christian Michel Raymond,"10 Rue Auguste-Antoine Thomazi, 29200 Brest , Finistère -  Bretagne -  France",02 98 47 00 02,http://www.ardoises-despagne.net,,Matériaux de couverture
https://www.infobel.com/fr/france/claustre_alain/dax/FR103248708-0558900548/businessdetails.aspx,CLAUSTRE ALAIN,"1 Avenue Jules Bastiat, 40100 Dax ,   France",0558900548,https://www.ets-pras.fr,balance de commerce; caisse enregistreuse; système d'encaissement; réparation balance,Matériaux de construction
https://www.infobel.com/fr/france/lariviere/chantepie/FR102275858-0299228440/businessdetails.aspx,Lariviere,"16 Rue du Breil, 35135 Chantepie , Ille-et-Vilaine -  Bretagne -  France",02 99 22 84 40,http://www.lariviere.fr,,Matériaux de couverture
https://www.infobel.com/fr/france/adg_ouest_profils/quessoy/FR107036918-0296804243/businessdetails.aspx,ADG Ouest Profils," Rue de l'Espérance, 22120 Quessoy , Côtes-d'Armor -  Bretagne -  France",02 96 80 42 43,http://www.ardoisieres-de-galice.com,,Matériaux de couverture
https://www.infobel.com/fr/france/weldom_argeles_sur_mer/argeles_sur_mer/FR106325637-0468815614/businessdetails.aspx,Weldom Argeles Sur Mer,"Rue des Milans, Zone D'Activite Sortie 10 11B Centre Commercial Intermarche, 66700 Argelès-sur-Mer ,   France",0468815614,https://www.weldom.fr/Argeles-Sur-Mer,bricolage; entretien; jardin; plomberie; quincallerie; rénovation,Matériaux de construction
https://www.infobel.com/fr/france/sci_flb_2000/saint_peray/FR104716276-0475404235/businessdetails.aspx,SCI Flb 2000,"3 Rue Denis Papin, 07130 Saint-Péray , Ardèche -  Rhône-Alpes -  France",04 75 40 42 35,http://pro.pagesjaunes.fr/boissy,,Matériaux de couverture
https://www.infobel.com/fr/france/lariviere/vion/FR102918068-0243621270/businessdetails.aspx,Lariviere," Route de la Flèche, 72300 Vion , Sarthe -  Pays de la Loire -  France",02 43 62 12 70,http://www.lariviere.fr,,Matériaux de couverture
